t_days,date,theta_x_arcsec,theta_y_arcsec
0,2024/05/02,-234.2,469.5
1,2024/05/03,-35.52,476.0
2,2024/05/04,78.23,500.82
3,2024/05/05,346.78,460.76
4,2024/05/06,520.44,448.5
