t_days,date,theta_x_arcsec,theta_y_arcsec
0,2024/05/15,-585.84,-104.0
1,2024/05/16,-382.58,-96.15
2,2024/05/17,-165.15,-92.19
3,2024/05/18,58.26,-90.76
4,2024/05/19,276.1,-90.71
