t_days,date,theta_x_arcsec,theta_y_arcsec
0,2024/05/05,-749.07,449.77
1,2024/05/06,-671.04,457.99
2,2024/05/07,-539.41,464.66
3,2024/05/08,-381.13,470.5
4,2024/05/09,-214.6,473.28
