t_days,date,theta_x_arcsec,theta_y_arcsec
0,2024/05/19,-681.83,-91.66
1,2024/05/20,-510.1,-95.46
2,2024/05/21,-311.0,-93.53
3,2024/05/22,-96.0,-97.81
4,2024/05/23,122.0,-100.99
