t_days,date,theta_x_arcsec,theta_y_arcsec
0,2024/05/04,-115.13,180.84
1,2024/05/05,111.96,184.05
2,2024/05/06,323.4,178.73
3,2024/05/07,515.29,167.34
4,2024/05/08,681.42,157.27
