t_days,date,theta_x_arcsec,theta_y_arcsec
0,2024/05/26,-694.76,416.38
1,2024/05/27,-564.72,419.82
2,2024/05/28,-391.23,426.0
3,2024/05/29,-203.54,425.0
4,2024/05/30,26.13,427.15
